latitude;longitude;speed;date;;;;;;;;;
36.69859386;-4.450381127;1.628114939;Wed May 02 23:17:38 GMT+02:00 2018;;;;;;;;;
36.69842748;-4.450706272;3.039107561;Wed May 02 23:14:10 GMT+02:00 2018;;;;;;;;;
36.69849712;-4.450092015;4.79389286;Wed May 02 23:14:09 GMT+02:00 2018;;;;;;;;;
36.69889946;-4.450435513;5.432079792;Wed May 02 23:13:58 GMT+02:00 2018;;;;;;;;;
36.69843244;-4.450753464;1.096166134;Wed May 02 23:12:25 GMT+02:00 2018;;;;;;;;;
36.69842985;-4.450391767;5.035223961;Wed May 02 23:10:40 GMT+02:00 2018;;;;;;;;;
36.69856556;-4.450090728;5.003143787;Wed May 02 23:10:38 GMT+02:00 2018;;;;;;;;;
36.69844762;-4.450546934;2.882096291;Wed May 02 23:08:02 GMT+02:00 2018;;;;;;;;;
36.69874173;-4.450417162;1.693307161;Wed May 02 23:07:59 GMT+02:00 2018;;;;;;;;;
36.69902936;-4.450235604;3.809549332;Wed May 02 23:07:56 GMT+02:00 2018;;;;;;;;;
36.69852216;-4.450565151;1.062211871;Wed May 02 23:04:38 GMT+02:00 2018;;;;;;;;;
36.69871908;-4.450322261;1.105241299;Wed May 02 23:04:21 GMT+02:00 2018;;;;;;;;;
